Sleep Stage,MeanP_Alpha_F4,MedianF_Alpha_F4,MeanF_Alpha_F4,Spectral Edge_Alpha_F4,PeakF_Alpha_F4,MeanP_Beta_F4,MedianF_Beta_F4,MeanF_Beta_F4,Spectral Edge_Beta_F4,PeakF_Beta_F4,MeanP_Theta_F4,MedianF_Theta_F4,MeanF_Theta_F4,Spectral Edge_Theta_F4,PeakF_Theta_F4,MeanP_Delta_F4,MedianF_Delta_F4,MeanF_Delta_F4,Spectral Edge_Delta_F4,PeakF_Delta_F4,MeanP_Gamma_F4,MedianF_Gamma_F4,MeanF_Gamma_F4,Spectral Edge_Gamma_F4,PeakF_Gamma_F4,MeanP_Alpha_C4,MedianF_Alpha_C4,MeanF_Alpha_C4,Spectral Edge_Alpha_C4,PeakF_Alpha_C4,MeanP_Beta_C4,MedianF_Beta_C4,MeanF_Beta_C4,Spectral Edge_Beta_C4,PeakF_Beta_C4,MeanP_Theta_C4,MedianF_Theta_C4,MeanF_Theta_C4,Spectral Edge_Theta_C4,PeakF_Theta_C4,MeanP_Delta_C4,MedianF_Delta_C4,MeanF_Delta_C4,Spectral Edge_Delta_C4,PeakF_Delta_C4,MeanP_Gamma_C4,MedianF_Gamma_C4,MeanF_Gamma_C4,Spectral Edge_Gamma_C4,PeakF_Gamma_C4,MeanP_Alpha_O2,MedianF_Alpha_O2,MeanF_Alpha_O2,Spectral Edge_Alpha_O2,PeakF_Alpha_O2,MeanP_Beta_O2,MedianF_Beta_O2,MeanF_Beta_O2,Spectral Edge_Beta_O2,PeakF_Beta_O2,MeanP_Theta_O2,MedianF_Theta_O2,MeanF_Theta_O2,Spectral Edge_Theta_O2,PeakF_Theta_O2,MeanP_Delta_O2,MedianF_Delta_O2,MeanF_Delta_O2,Spectral Edge_Delta_O2,PeakF_Delta_O2,MeanP_Gamma_O2,MedianF_Gamma_O2,MeanF_Gamma_O2,Spectral Edge_Gamma_O2,PeakF_Gamma_O2
REM,0.00012,9.24098,16.73366,16.35902,6.99317,0.00012,16.23415,23.3522,25.47512,16.60878,0.00021,4.99512,11.3639,9.1161,3.9961,0.00068,0.99902,6.2439,3.74634,0.37463,2.24e-05,38.0878,49.82634,49.95122,49.95122,0.00014,8.61659,17.23317,16.60878,49.95122,0.00028,49.82634,49.95122,49.95122,49.95122,0.00025,4.87024,10.73951,8.61659,3.9961,0.00075,1.37366,6.2439,3.74634,0.49951,0.00061,49.95122,49.95122,50.0761,49.95122,0.0001,9.24098,16.10927,15.60976,8.36683,9.88e-05,15.73463,24.60098,26.47415,15.85951,0.00016,5.49463,11.23902,9.49073,3.9961,0.00069,0.99902,6.11902,3.12195,0.99902,1.9e-05,35.84,49.82634,49.95122,49.95122
REM,0.00013,9.24098,16.60878,15.85951,10.11512,0.00012,15.85951,23.22732,25.47512,17.10829,0.00024,4.87024,10.98927,9.24098,3.74634,0.00099,0.99902,5.74439,3.49659,0.74927,2.23e-05,38.83707,49.82634,49.95122,49.95122,0.00014,8.49171,17.35805,16.4839,49.95122,0.00029,49.82634,49.95122,49.95122,49.95122,0.00029,4.87024,10.48976,8.36683,3.74634,0.00089,1.37366,6.11902,3.62146,0.74927,0.00062,49.95122,49.95122,50.0761,49.95122,8.7e-05,9.36585,16.4839,15.73463,6.36878,8.71e-05,15.85951,24.60098,26.59902,13.86146,0.00015,5.24488,11.61366,9.24098,3.62146,0.00064,0.87415,5.99415,3.49659,0.87415,1.76e-05,37.83805,49.82634,49.95122,49.95122
REM,0.00012,8.99122,16.98341,16.35902,6.36878,0.00012,16.35902,23.3522,25.22537,16.23415,0.00022,4.74537,10.98927,8.74146,4.49561,0.0011,0.74927,6.11902,3.24683,0.62439,2.23e-05,39.58634,49.82634,49.95122,49.95122,0.00013,8.86634,17.85756,16.98341,6.36878,0.00028,49.82634,49.95122,49.95122,49.95122,0.00025,4.87024,10.86439,8.74146,3.62146,0.0009,1.1239,6.11902,3.62146,0.87415,0.00061,49.95122,49.95122,50.0761,49.95122,8.14e-05,9.86537,17.10829,16.35902,9.61561,9.27e-05,16.4839,24.60098,27.09854,22.35317,0.00013,4.74537,11.86341,9.61561,3.62146,0.0007,0.87415,5.49463,3.37171,0.87415,1.91e-05,35.46537,49.82634,49.95122,49.95122
REM,0.00012,9.24098,16.98341,16.10927,6.61854,0.00011,16.4839,24.22634,26.09951,12.23805,0.0002,5.12,11.11415,9.24098,4.74537,0.00063,1.37366,6.36878,3.62146,0.37463,2.25e-05,38.7122,49.82634,49.95122,49.95122,0.00012,9.24098,18.35707,17.6078,49.95122,0.00027,49.82634,49.95122,49.95122,49.95122,0.00023,4.74537,11.11415,8.74146,3.49659,0.00068,1.62341,5.86927,3.62146,0.87415,0.00062,49.95122,49.95122,50.0761,49.95122,8.71e-05,9.61561,16.98341,16.10927,7.49268,9.5e-05,16.10927,24.22634,26.47415,15.98439,0.00013,4.87024,11.61366,9.61561,3.74634,0.00061,0.99902,5.86927,3.24683,0.87415,1.88e-05,36.21463,49.82634,49.95122,49.95122
REM,0.00012,8.99122,16.98341,16.10927,6.49366,0.00012,16.23415,23.85171,25.35024,17.23317,0.00025,4.49561,10.86439,8.11707,3.62146,0.00083,1.24878,5.74439,3.74634,0.87415,2.22e-05,37.83805,49.82634,49.95122,49.95122,0.00015,8.49171,16.85854,15.98439,49.95122,0.00028,49.82634,49.95122,49.95122,49.95122,0.0003,4.74537,10.24,8.49171,3.74634,0.00082,1.37366,5.99415,3.87122,0.62439,0.00061,49.95122,49.95122,50.0761,49.95122,9.07e-05,9.86537,16.60878,16.10927,10.11512,9.88e-05,15.85951,24.10146,26.09951,15.60976,0.00013,5.24488,12.23805,9.86537,3.62146,0.00055,0.87415,6.2439,3.49659,0.87415,1.91e-05,37.33854,49.82634,49.95122,49.95122
REM,0.00021,8.11707,16.35902,14.61073,8.24195,0.00016,15.48488,23.60195,25.22537,10.86439,0.00081,2.62244,10.11512,6.49366,0.99902,0.16856,0.49951,2.37268,0.99902,0.49951,2.76e-05,36.21463,49.82634,49.95122,49.95122,0.00019,8.36683,17.10829,16.10927,7.74244,0.00032,49.82634,49.95122,49.95122,49.95122,0.00043,4.24585,10.48976,8.11707,3.37171,0.00115,2.37268,5.61951,3.74634,2.49756,0.00062,49.95122,49.95122,50.0761,49.95122,0.00011,9.1161,16.4839,15.73463,9.1161,0.00011,15.60976,23.3522,24.85073,12.86244,0.00017,5.61951,11.61366,9.61561,3.9961,0.00059,0.99902,6.49366,3.62146,0.99902,1.84e-05,36.71415,49.82634,49.95122,49.95122
REM,0.00011,8.74146,17.48293,16.85854,7.11805,0.00011,16.98341,24.10146,25.72488,16.98341,0.00018,5.24488,10.86439,8.74146,4.49561,0.00081,0.99902,6.11902,3.37171,0.49951,2.21e-05,37.83805,49.82634,49.95122,49.95122,0.00011,8.99122,18.60683,17.98244,9.86537,0.00027,49.82634,49.95122,50.0761,49.95122,0.00019,4.87024,10.86439,8.86634,3.62146,0.00073,1.1239,6.11902,3.49659,0.74927,0.00062,49.95122,49.95122,50.0761,49.95122,8.46e-05,9.61561,16.98341,16.35902,6.2439,9.26e-05,16.73366,24.10146,26.97366,15.11024,0.00013,5.36976,11.61366,9.61561,6.2439,0.00054,0.87415,6.11902,3.49659,0.87415,1.86e-05,35.96488,49.82634,49.95122,49.95122
REM,0.00012,8.86634,17.23317,16.4839,7.11805,0.00012,16.73366,23.85171,25.84976,17.85756,0.00022,5.12,10.98927,8.86634,3.62146,0.00057,1.37366,6.36878,3.74634,0.87415,2.26e-05,36.46439,49.82634,49.95122,49.95122,0.00013,8.49171,17.85756,16.98341,49.95122,0.00028,49.82634,49.95122,49.95122,49.95122,0.00028,4.74537,10.48976,8.36683,3.62146,0.0008,1.62341,5.86927,3.74634,0.49951,0.00062,49.95122,49.95122,50.0761,49.95122,8.19e-05,9.86537,17.23317,16.73366,6.2439,9.32e-05,16.60878,23.85171,26.59902,22.35317,0.00011,5.61951,12.36293,10.11512,3.62146,0.00059,0.74927,6.2439,2.8722,0.87415,1.8e-05,35.34049,49.82634,49.95122,49.95122
REM,0.00011,9.1161,17.48293,16.73366,7.3678,0.00012,16.85854,23.85171,25.35024,17.35805,0.0002,4.87024,11.11415,8.99122,3.74634,0.00068,1.1239,6.2439,3.62146,0.87415,2.24e-05,35.96488,49.82634,49.95122,49.95122,0.00012,8.99122,18.60683,17.85756,49.95122,0.00027,49.82634,49.95122,49.95122,49.95122,0.00022,4.87024,10.61463,8.86634,4.62049,0.00075,1.1239,6.11902,3.62146,0.87415,0.00062,49.95122,49.95122,50.0761,49.95122,8.02e-05,9.74049,17.23317,16.35902,6.49366,8.78e-05,16.4839,24.60098,27.59805,14.73561,0.00013,4.99512,11.73854,9.61561,3.74634,0.0004,0.99902,6.36878,3.74634,0.87415,1.91e-05,37.71317,49.82634,49.95122,49.95122
NREM,0.00056,10.86439,19.98049,19.98049,10.61463,0.00115,21.22927,30.59512,32.9678,23.10244,0.00044,7.11805,14.48585,12.61268,3.87122,0.0035,0.49951,6.61854,1.62341,0.37463,0.00039,32.59317,38.96195,48.82732,31.96878,0.00052,10.48976,20.60488,20.48,7.74244,0.00114,24.10146,35.84,49.82634,49.95122,0.00062,5.61951,13.1122,10.61463,7.74244,0.03322,0.62439,2.8722,1.1239,0.62439,0.00098,49.82634,49.95122,49.95122,49.95122,0.00064,10.61463,19.60585,19.3561,9.86537,0.00117,20.85463,30.59512,33.09268,21.22927,0.00079,3.9961,13.61171,10.61463,1.1239,0.10231,0.49951,1.99805,0.99902,0.49951,0.00038,32.9678,38.96195,46.95415,31.96878
REM,0.00019,7.86732,16.23415,14.61073,4.99512,0.00014,15.73463,23.85171,24.72585,16.10927,0.00064,3.87122,9.61561,6.86829,4.12098,0.02864,0.62439,2.99707,1.49854,0.49951,2.36e-05,35.71512,49.82634,49.95122,49.95122,0.00013,9.1161,18.48195,17.98244,49.95122,0.0003,49.82634,49.95122,49.95122,49.95122,0.00023,4.74537,10.98927,8.99122,4.62049,0.00081,1.37366,5.61951,3.49659,0.49951,0.00067,49.82634,49.95122,49.95122,49.95122,0.00011,9.24098,16.4839,15.48488,9.61561,9.97e-05,15.98439,24.4761,26.59902,15.98439,0.00018,5.36976,10.86439,9.36585,4.49561,0.00055,0.87415,6.36878,3.87122,0.87415,1.97e-05,36.71415,49.82634,49.95122,49.95122
REM,0.00012,8.86634,16.60878,15.11024,6.99317,0.00011,16.35902,24.72585,26.84878,11.48878,0.00024,4.87024,10.61463,8.86634,3.49659,0.0012,0.99902,5.74439,3.24683,0.87415,2.19e-05,35.46537,49.82634,49.95122,49.95122,0.00015,8.61659,17.10829,15.85951,49.95122,0.0003,49.82634,49.95122,49.95122,49.95122,0.00031,4.99512,10.36488,8.49171,3.49659,0.00085,1.74829,5.99415,3.74634,0.62439,0.00068,49.95122,49.95122,50.0761,49.95122,8.34e-05,9.36585,16.73366,15.98439,6.99317,8.61e-05,16.35902,25.35024,28.34732,15.98439,0.00013,5.49463,11.3639,9.49073,4.49561,0.0004,0.99902,6.36878,3.62146,0.87415,1.98e-05,39.08683,49.82634,49.95122,49.95122
REM,0.00012,8.49171,16.73366,15.85951,6.74341,0.00011,16.35902,23.97659,25.6,16.73366,0.00024,4.74537,10.73951,8.36683,3.37171,0.00128,0.87415,5.61951,3.12195,0.74927,2e-05,36.21463,49.82634,49.95122,49.95122,0.00016,8.11707,17.23317,15.98439,49.95122,0.0003,49.82634,49.95122,49.95122,49.95122,0.0004,4.24585,9.86537,7.61756,3.37171,0.0013,2.12293,5.49463,3.49659,0.87415,0.00068,49.95122,49.95122,50.0761,49.95122,7.32e-05,9.74049,16.85854,15.98439,9.1161,8.03e-05,16.23415,25.47512,27.72293,15.98439,0.00012,4.99512,11.73854,9.61561,4.12098,0.00076,0.74927,5.61951,2.74732,0.87415,1.87e-05,40.96,49.82634,49.95122,49.95122
REM,9.84e-05,9.24098,16.85854,15.98439,9.74049,9.98e-05,16.4839,24.22634,26.22439,49.95122,0.00019,4.62049,10.86439,8.86634,3.9961,0.00082,0.87415,5.74439,3.37171,0.37463,2.03e-05,38.46244,49.82634,49.95122,49.95122,0.00011,9.36585,18.85659,17.98244,49.95122,0.00028,49.82634,49.95122,49.95122,49.95122,0.00023,4.49561,10.73951,8.49171,3.9961,0.00084,1.37366,5.61951,3.74634,0.49951,0.00068,49.95122,49.95122,50.0761,49.95122,7.27e-05,9.49073,16.73366,15.98439,6.49366,7.92e-05,16.35902,25.35024,28.4722,15.98439,0.00012,5.24488,11.61366,9.36585,4.37073,0.00044,0.87415,6.11902,3.62146,0.87415,1.89e-05,40.46049,49.82634,49.95122,49.95122
REM,9.89e-05,9.1161,16.98341,16.23415,6.36878,0.0001,16.35902,24.72585,26.22439,17.48293,0.00016,5.36976,11.48878,9.1161,4.62049,0.00102,0.62439,5.99415,2.74732,0.62439,2.01e-05,37.83805,49.82634,49.95122,49.95122,0.0001,8.99122,18.48195,18.2322,49.95122,0.00027,49.82634,49.95122,49.95122,49.95122,0.00018,5.12,10.98927,8.99122,4.62049,0.00085,0.99902,5.86927,3.12195,0.62439,0.00067,49.95122,49.95122,50.0761,49.95122,8.9e-05,9.24098,16.73366,15.85951,6.36878,9.14e-05,15.98439,24.72585,27.22341,13.73659,0.00014,5.36976,11.73854,9.61561,3.62146,0.00095,0.74927,5.61951,2.49756,0.87415,1.93e-05,37.96293,49.82634,49.95122,49.95122
REM,0.00012,8.74146,16.4839,15.23512,6.61854,0.00011,15.85951,24.10146,25.72488,13.1122,0.00027,4.49561,10.48976,8.24195,3.74634,0.00106,0.87415,5.61951,3.62146,0.49951,1.98e-05,37.21366,49.82634,49.95122,49.95122,0.00015,8.11707,17.35805,15.98439,49.95122,0.00029,49.82634,49.95122,49.95122,49.95122,0.00038,4.24585,10.11512,7.74244,3.49659,0.00128,1.49854,5.36976,3.74634,0.49951,0.00067,49.95122,49.95122,50.0761,49.95122,8.26e-05,9.49073,17.10829,16.35902,6.61854,8.85e-05,16.73366,24.60098,27.22341,15.98439,0.00013,5.36976,11.48878,9.49073,3.87122,0.00058,0.87415,6.36878,3.37171,0.49951,1.9e-05,37.71317,49.82634,49.95122,49.95122
REM,9.47e-05,9.61561,17.48293,16.98341,7.24293,0.00011,16.98341,24.10146,26.09951,16.4839,0.00017,4.62049,11.48878,9.1161,3.62146,0.00122,0.87415,5.24488,2.62244,0.87415,2.16e-05,35.96488,49.82634,49.95122,49.95122,9.46e-05,9.49073,19.23122,19.10634,49.95122,0.00028,49.82634,49.95122,49.95122,49.95122,0.00018,4.49561,11.3639,8.99122,3.62146,0.00075,1.24878,5.49463,3.37171,0.87415,0.00067,49.95122,49.95122,50.0761,49.95122,8.25e-05,9.99024,17.10829,16.35902,6.36878,9.41e-05,16.23415,24.22634,26.84878,12.73756,0.00013,5.12,12.36293,9.86537,3.62146,0.00096,0.74927,5.36976,2.49756,0.49951,1.95e-05,37.21366,49.82634,49.95122,49.95122
REM,9.91e-05,9.36585,17.35805,16.73366,10.24,0.00011,16.73366,24.10146,26.22439,16.73366,0.00016,5.12,11.98829,9.24098,3.74634,0.00068,0.87415,6.2439,3.49659,0.87415,2.19e-05,37.08878,49.82634,49.95122,49.95122,0.00011,8.61659,18.85659,18.10732,49.95122,0.00029,49.82634,49.95122,49.95122,49.95122,0.00022,4.99512,10.86439,8.36683,4.62049,0.00072,1.24878,5.99415,3.62146,0.87415,0.00067,49.95122,49.95122,50.0761,49.95122,7.1e-05,10.24,16.85854,16.4839,10.24,8.37e-05,16.10927,24.60098,27.47317,15.85951,0.0001,5.36976,12.4878,10.24,3.74634,0.00048,0.87415,6.11902,3.12195,0.87415,1.86e-05,39.08683,49.82634,49.95122,49.95122
REM,9.48e-05,9.1161,16.85854,15.98439,6.49366,9.6e-05,16.35902,24.72585,26.7239,17.73268,0.00017,4.87024,11.11415,9.1161,3.74634,0.00095,0.74927,5.74439,2.99707,0.62439,2.02e-05,38.58732,49.82634,49.95122,49.95122,0.00011,9.24098,18.10732,17.73268,49.95122,0.00028,49.82634,49.95122,49.95122,49.95122,0.0002,4.74537,11.11415,8.99122,4.87024,0.00073,1.1239,5.99415,3.62146,0.87415,0.00067,49.95122,49.95122,50.0761,49.95122,7.67e-05,10.11512,16.73366,16.23415,9.61561,8.59e-05,16.10927,24.10146,26.97366,9.61561,0.0001,5.61951,12.11317,10.36488,3.74634,0.00043,0.99902,6.2439,3.24683,0.87415,1.79e-05,38.96195,49.82634,49.95122,49.95122
REM,0.0001,9.49073,17.23317,15.73463,10.11512,0.0001,16.73366,24.85073,26.7239,10.11512,0.00018,4.74537,11.11415,9.24098,3.74634,0.00068,1.37366,5.86927,3.62146,0.87415,2.14e-05,37.21366,49.82634,49.95122,49.95122,0.0001,9.49073,18.98146,18.60683,49.95122,0.00028,49.82634,49.95122,49.95122,49.95122,0.00019,4.74537,11.11415,9.1161,3.87122,0.00076,1.37366,5.61951,3.49659,0.87415,0.00067,49.95122,49.95122,50.0761,49.95122,6.94e-05,9.86537,17.23317,16.4839,7.3678,8.17e-05,16.60878,25.10049,28.34732,15.98439,9.41e-05,5.61951,12.23805,10.11512,3.74634,0.00045,0.87415,6.36878,2.99707,0.99902,1.91e-05,39.58634,49.82634,49.95122,49.95122
NREM,0.00041,9.74049,22.47805,21.6039,9.74049,0.00092,25.97463,31.34439,33.21756,29.84585,0.00081,3.24683,11.73854,9.24098,1.24878,0.05331,0.74927,2.74732,1.37366,0.74927,0.00039,31.96878,36.83902,46.08,49.95122,0.00043,10.73951,22.85268,23.10244,9.74049,0.00119,28.22244,33.71707,49.82634,49.95122,0.00044,6.11902,13.73659,11.3639,5.86927,0.00679,0.62439,5.12,1.62341,0.62439,0.00106,49.82634,49.95122,49.95122,49.95122,0.00034,10.73951,25.22537,25.84976,9.74049,0.00102,27.09854,31.46927,33.46732,30.09561,0.00045,5.24488,13.48683,10.11512,5.86927,0.01179,0.87415,3.49659,1.49854,0.74927,0.00048,31.8439,36.71415,45.45561,30.84488
REM,0.00013,8.74146,16.73366,15.36,7.3678,0.00012,16.23415,23.72683,25.72488,19.10634,0.00025,5.12,10.61463,8.86634,3.49659,0.0007,1.1239,6.2439,3.74634,0.87415,2.47e-05,42.20878,49.82634,49.95122,49.95122,0.00019,7.9922,16.10927,14.86049,7.3678,0.00031,49.82634,49.95122,49.95122,49.95122,0.0004,4.87024,10.11512,8.24195,4.74537,0.00097,1.62341,6.11902,4.12098,0.87415,0.00066,49.95122,49.95122,50.0761,49.95122,9.23e-05,9.74049,16.35902,15.85951,5.61951,9.68e-05,15.85951,24.22634,27.22341,15.98439,0.00015,4.99512,11.73854,9.61561,4.37073,0.00068,0.87415,5.74439,3.37171,0.87415,2e-05,37.96293,49.82634,49.95122,49.95122
REM,0.00012,8.11707,16.73366,15.60976,6.86829,0.00011,16.10927,24.35122,26.34927,18.98146,0.00023,5.24488,10.36488,8.36683,4.37073,0.00061,1.24878,6.49366,3.74634,0.87415,2.28e-05,43.58244,49.82634,49.95122,49.95122,0.00014,7.9922,17.48293,16.4839,5.86927,0.00028,49.82634,49.95122,49.95122,49.95122,0.00029,4.99512,10.11512,8.11707,5.86927,0.00076,1.62341,5.99415,3.74634,0.87415,0.00065,49.95122,49.95122,50.0761,49.95122,8.46e-05,9.74049,17.23317,16.60878,9.36585,9.65e-05,16.60878,24.22634,26.34927,15.48488,0.00013,4.74537,11.73854,9.74049,4.24585,0.00065,0.87415,5.74439,3.24683,0.87415,1.95e-05,37.33854,49.82634,49.95122,49.95122
REM,0.00011,9.24098,16.85854,15.85951,9.74049,0.0001,16.4839,24.4761,26.47415,49.95122,0.00021,4.74537,10.86439,8.99122,4.62049,0.00072,1.37366,5.99415,3.49659,0.37463,2.31e-05,44.20683,49.82634,49.95122,49.95122,0.00013,8.74146,17.35805,16.23415,49.95122,0.00028,49.82634,49.95122,49.95122,49.95122,0.00028,4.74537,10.48976,8.24195,4.74537,0.00092,1.74829,5.86927,3.49659,1.87317,0.00065,49.95122,49.95122,50.0761,49.95122,8.43e-05,9.86537,16.73366,16.10927,9.74049,9.6e-05,15.98439,24.22634,26.34927,15.98439,0.00012,5.74439,12.4878,9.99024,3.62146,0.00049,0.87415,6.2439,3.37171,0.87415,1.92e-05,37.83805,49.82634,49.95122,49.95122
REM,0.00011,9.24098,16.73366,15.85951,6.2439,0.0001,16.23415,24.10146,26.34927,49.95122,0.00019,5.36976,10.98927,9.49073,4.37073,0.00055,1.24878,6.2439,3.74634,0.49951,2.24e-05,45.70537,49.82634,49.95122,49.95122,0.00012,8.74146,18.2322,17.48293,49.95122,0.00027,49.82634,49.95122,49.95122,49.95122,0.00025,4.49561,10.48976,8.24195,4.37073,0.00074,1.74829,5.86927,3.74634,0.87415,0.00065,49.95122,49.95122,50.0761,49.95122,7.2e-05,9.74049,17.10829,16.4839,9.61561,8.31e-05,16.60878,25.22537,27.8478,22.35317,0.00012,4.87024,11.61366,9.74049,3.49659,0.00051,0.87415,5.86927,3.37171,0.87415,1.88e-05,37.96293,49.82634,49.95122,49.95122
REM,0.00011,9.24098,16.35902,15.36,6.2439,0.0001,15.98439,23.97659,26.34927,11.73854,0.00019,5.12,11.3639,9.1161,6.2439,0.00073,0.87415,6.2439,3.49659,0.37463,2.2e-05,43.58244,49.82634,49.95122,49.95122,0.00014,9.1161,17.48293,16.35902,6.2439,0.00029,49.82634,49.95122,49.95122,49.95122,0.00026,4.87024,10.98927,8.99122,4.87024,0.0007,1.49854,6.11902,3.87122,0.87415,0.00064,49.95122,49.95122,50.0761,49.95122,8.74e-05,9.74049,16.98341,16.10927,9.86537,9.33e-05,16.60878,24.4761,27.47317,12.61268,0.00015,4.74537,11.61366,9.74049,3.62146,0.00078,0.87415,5.74439,3.24683,0.87415,1.93e-05,36.33951,49.82634,49.95122,49.95122
REM,0.00011,8.99122,16.85854,15.98439,7.11805,0.00011,16.4839,24.72585,27.22341,13.1122,0.00022,4.62049,10.98927,8.61659,4.37073,0.00094,0.74927,5.74439,3.37171,0.62439,2.38e-05,42.70829,49.82634,49.95122,49.95122,0.00013,8.61659,17.6078,16.85854,7.11805,0.00028,49.82634,49.95122,49.95122,49.95122,0.00028,4.49561,10.24,8.24195,4.37073,0.00089,1.37366,5.74439,3.74634,0.87415,0.00065,49.95122,49.95122,50.0761,49.95122,6.63e-05,9.61561,17.23317,16.4839,6.11902,7.84e-05,16.60878,25.47512,28.34732,15.98439,0.0001,5.36976,11.98829,9.49073,4.37073,0.00048,0.87415,6.11902,3.24683,0.87415,1.82e-05,38.21268,49.82634,49.95122,49.95122
REM,0.00011,9.24098,16.98341,16.35902,6.36878,0.00011,16.4839,24.22634,26.09951,49.95122,0.00019,4.87024,11.23902,9.1161,3.62146,0.00086,0.87415,5.86927,3.37171,0.49951,2.29e-05,41.45951,49.82634,49.95122,49.95122,0.00013,9.49073,18.48195,17.98244,49.95122,0.00029,49.82634,49.95122,49.95122,49.95122,0.00022,4.74537,11.3639,9.1161,3.62146,0.00079,1.1239,5.86927,3.49659,0.87415,0.00065,49.95122,49.95122,50.0761,49.95122,8.38e-05,9.99024,16.85854,16.35902,9.61561,9.56e-05,16.10927,24.4761,26.7239,15.98439,0.00011,5.36976,12.23805,10.36488,4.49561,0.00055,0.87415,6.11902,3.12195,0.87415,1.95e-05,37.58829,49.82634,49.95122,49.95122
REM,0.00013,8.49171,16.35902,15.23512,6.74341,0.00012,15.85951,24.10146,26.22439,12.98732,0.00024,5.49463,10.73951,8.74146,3.87122,0.00087,0.74927,6.36878,3.62146,0.49951,2.37e-05,39.96098,49.82634,49.95122,49.95122,0.00017,8.49171,17.98244,16.98341,6.74341,0.00032,49.82634,49.95122,49.95122,49.95122,0.00028,5.61951,10.61463,8.74146,3.87122,0.00102,0.87415,6.61854,3.62146,0.49951,0.00065,49.95122,49.95122,50.0761,49.95122,0.00012,9.24098,16.23415,15.23512,9.61561,0.00011,15.48488,23.85171,25.97463,9.61561,0.00019,5.36976,11.3639,9.49073,4.12098,0.0007,0.87415,6.49366,3.62146,0.99902,1.98e-05,35.84,49.82634,49.95122,49.95122
REM,9.65e-05,9.49073,16.73366,15.98439,10.48976,0.0001,16.23415,24.85073,27.09854,49.95122,0.00017,4.99512,11.3639,9.36585,4.37073,0.0006,1.1239,5.99415,3.49659,0.49951,2.26e-05,43.70732,49.82634,49.95122,49.95122,0.00015,8.49171,16.98341,15.98439,6.61854,0.00029,49.82634,49.95122,49.95122,49.95122,0.00028,5.36976,10.36488,8.61659,5.49463,0.0008,1.62341,6.2439,3.74634,0.62439,0.00065,49.95122,49.95122,50.0761,49.95122,7.24e-05,10.36488,17.35805,16.73366,10.48976,8.83e-05,16.60878,24.60098,27.72293,15.98439,0.0001,5.24488,12.23805,10.48976,4.37073,0.0005,0.87415,5.74439,2.99707,0.87415,1.92e-05,36.33951,49.82634,49.95122,49.95122
REM,9.18e-05,8.86634,17.10829,16.35902,6.99317,9.46e-05,16.73366,24.60098,26.7239,49.95122,0.00016,5.49463,11.23902,8.99122,4.37073,0.00053,1.1239,6.36878,3.49659,0.37463,2.2e-05,44.9561,49.82634,49.95122,49.95122,0.0001,9.1161,18.48195,18.10732,49.95122,0.00027,49.82634,49.95122,49.95122,49.95122,0.00018,5.12,11.23902,8.99122,4.37073,0.00087,0.99902,5.74439,3.12195,0.87415,0.00065,49.95122,49.95122,50.0761,49.95122,5.97e-05,10.36488,17.6078,17.10829,6.11902,7.68e-05,17.23317,25.10049,28.09756,15.73463,9.19e-05,4.74537,12.23805,9.86537,4.37073,0.00054,0.87415,5.74439,2.99707,0.87415,1.82e-05,39.46146,49.82634,49.95122,49.95122
REM,0.00011,8.74146,17.35805,15.98439,6.99317,0.00011,16.85854,24.22634,26.47415,49.95122,0.0002,4.87024,10.86439,8.74146,3.49659,0.00108,0.99902,5.74439,2.99707,0.49951,2.37e-05,41.83415,49.82634,49.95122,49.95122,0.00013,8.36683,18.10732,17.23317,49.95122,0.00029,49.82634,49.95122,49.95122,49.95122,0.00025,4.99512,10.48976,8.49171,3.87122,0.00075,1.37366,6.2439,3.74634,0.87415,0.00066,49.95122,49.95122,50.0761,49.95122,7.8e-05,9.74049,17.23317,16.60878,6.2439,8.88e-05,16.60878,24.72585,27.97268,13.36195,0.00012,5.12,12.23805,9.74049,6.2439,0.00044,0.87415,6.11902,3.49659,0.87415,1.93e-05,37.71317,49.82634,49.95122,49.95122
REM,0.0001,9.49073,16.85854,15.98439,9.74049,0.0001,16.35902,24.4761,26.09951,12.4878,0.00019,4.87024,11.23902,9.1161,4.49561,0.00056,1.62341,6.11902,3.87122,0.87415,2.25e-05,42.45854,49.82634,49.95122,49.95122,0.00015,8.49171,16.98341,15.98439,7.11805,0.00029,49.82634,49.95122,49.95122,49.95122,0.00031,4.62049,10.61463,8.49171,4.49561,0.00082,1.99805,5.86927,3.87122,0.87415,0.00065,49.82634,49.95122,49.95122,49.95122,7.81e-05,10.24,16.98341,16.35902,10.73951,9e-05,16.60878,24.85073,27.09854,15.98439,0.00013,4.87024,11.73854,9.86537,3.62146,0.00049,0.87415,5.86927,3.49659,0.87415,1.95e-05,37.71317,49.82634,49.95122,49.95122
